Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.86292239780544,3.09878487732049,0.860427713538258,0,0,0,31.4560304041365,4.24847130769976,-0.00593912735537924,0.771169199898189,4.18387338030083,0.025584416965281,1.12818726081535,0,0,0,0,0,0,package://jetchair_urdf/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/base_link.STL,,TEEZ-1;pin_pipe-1;beam_arm-2;arm_rest-2;pan cross head_am-2;arm_rest-1;pan cross head_am-1;Back-1;Iteration1-1;RS.177-4516-3000N-1/RS.177-4516-bottom-1;RS.177-4516-3000N-1/RS.177-4516-bottom-mount-1;RS.177-4516-3000N-1/pan cross head screw_as-3;RS.177-4516-3000N-1/pan cross head screw_as-4;RS.177-4516-3000N-1/pan cross head screw_as-2;RS.177-4516-3000N-1/pan cross head screw_as-5;RS.177-4516-3000N-1/RS.177-4516-shaft-1;RS.177-4516-3000N-1/RS.177-4516-top-mount-1;prevailing torque hex flange nut_am-1;heavy hex flange screw_am-2;bracket-1;hex flange nut_am-1;bracket-2;prevailing torque hex flange nut_am-3;heavy hex flange screw_am-4;hex flange nut_am-3;beam_arm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,1.81078408458824E-05,-4.2060428124234E-05,0.0803821994836058,0,0,0,1.89094567469007,0.00469266978671407,1.13750496314201E-06,2.03253339937828E-06,0.00469215991605277,-4.51030353248672E-06,0.00762861332160976,0,0,0,0,0,0,package://jetchair_urdf/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/right_wheel.STL,,002. DC Brushed Wheels-1,Coordinate System5,right_wheel_joint,right_wheel_joint,continuous,-2.9141678140888,2.86036396242897,0.0448478291149336,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
left_wheel,-4.2017534467309E-05,1.82071500053615E-05,-0.0803821994836054,0,0,0,1.89094567469007,0.00469216529315724,1.13869673562891E-06,4.50548947770026E-06,0.0046926644096096,-2.04318245418296E-06,0.00762861332160975,0,0,0,0,0,0,package://jetchair_urdf/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/left_wheel.STL,,002. DC Brushed Wheels-2,left_wheel_coord,left_wheel_joint,left_wheel_joint,continuous,-2.9141678140888,3.34036396242897,0.0448478291149333,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
right_caster_wheel,0.0247437944608153,-0.111899610356548,0.0532398933506637,0,0,0,0.242680594536877,0.00018528787149402,5.8888598686378E-06,-4.52919497186026E-06,0.000183879993026435,2.21010147130752E-07,0.000301646397552213,0,0,0,0,0,0,package://jetchair_urdf/meshes/right_caster_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/right_caster_wheel.STL,,CCVINTAGE-PW-4S-STEM-1,right_caster_coord,right_caster_joint,right_caster_joint,fixed,-2.3763778140888,2.86576396242897,0.120147829114934,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
left_caster_wheel,0.0247573366941509,-0.111899613326545,-0.0498126119646645,0,0,0,0.242680705446467,0.0001851300367039,5.89261892179493E-06,-1.45685394684528E-06,0.000183880023665673,6.57075451609434E-08,0.000301804242314817,0,0,0,0,0,0,package://jetchair_urdf/meshes/left_caster_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/left_caster_wheel.STL,,CCVINTAGE-PW-4S-STEM-3,left_caster_coord,left_caster_joint,left_caster_joint,fixed,-2.3763778140888,3.33736396242897,0.120147829114934,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,0.00676832715317666,-0.00738785210738577,9.17768374701922E-05,0,0,0,1.33041048124832,0.000614736954229148,0.000158189979278381,8.0027125959029E-07,0.00109812375363565,3.0960362664797E-06,0.000960497023041248,0,0,0,0,0,0,package://jetchair_urdf/meshes/lidar.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://jetchair_urdf/meshes/lidar.STL,,lidar-1,lidar_coord,lidar_joint,lidar_joint,fixed,-2.65862808664732,3.10536396242897,0.144497829114934,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
