Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.86292239780799,0.860427713554679,-3.09878487731917,0,0,0,31.4560304030786,4.24847130734358,0.771169199853514,0.00593912739982923,1.12818726077964,-0.0255844170327572,4.18387337996704,0,0,0,0,0,0,package://autochair/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://autochair/meshes/base_link.STL,,TEEZ-1;pin_pipe-1;beam_arm-2;arm_rest-2;pan cross head_am-2;arm_rest-1;pan cross head_am-1;Back-1;Iteration1-1;RS.177-4516-3000N-1/RS.177-4516-bottom-1;RS.177-4516-3000N-1/RS.177-4516-bottom-mount-1;RS.177-4516-3000N-1/pan cross head screw_as-3;RS.177-4516-3000N-1/pan cross head screw_as-4;RS.177-4516-3000N-1/pan cross head screw_as-2;RS.177-4516-3000N-1/pan cross head screw_as-5;RS.177-4516-3000N-1/RS.177-4516-shaft-1;RS.177-4516-3000N-1/RS.177-4516-top-mount-1;prevailing torque hex flange nut_am-1;heavy hex flange screw_am-2;bracket-1;hex flange nut_am-1;bracket-2;prevailing torque hex flange nut_am-3;heavy hex flange screw_am-4;hex flange nut_am-3;beam_arm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,-0.020882,-0.46295,0.32038,0,0,0,1.8909,0.0046927,1.1375E-06,2.0325E-06,0.0046922,-4.5103E-06,0.0076286,0,0,0,0,0,0,package://autochair/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://autochair/meshes/right_wheel.STL,,002. DC Brushed Wheels-1,Coordinate System1 <Iteration1-1>,right_wheel_joint,right_wheel_joint,continuous,-2.8933,3.1004,0.50776,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
left_wheel,8.67125611314634E-07,-4.57845127444165E-05,-0.0830178005163944,0,0,0,1.89094567469007,0.00469339303928487,6.34080431368673E-07,1.77011754618064E-07,0.00469143666348197,-4.94395558368763E-06,0.00762861332160975,0,0,0,0,0,0,package://autochair/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autochair/meshes/left_wheel.STL,,002. DC Brushed Wheels-2,left_wheel_coord,left_wheel_joint,left_wheel_joint,continuous,-2.9142,3.3404,0.044848,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
right_caster_wheel,0.024744,-0.1119,0.05324,0,0,0,0.24268,0.00018529,5.8889E-06,-4.5292E-06,0.00018388,2.2101E-07,0.00030165,0,0,0,0,0,0,package://autochair/meshes/right_caster_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://autochair/meshes/right_caster_wheel.STL,,CCVINTAGE-PW-4S-STEM-1,right_caster_coord,right_caster_joint,right_caster_joint,fixed,-2.3763778140888,2.86576396242897,0.120147829114934,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
left_caster_wheel,0.024757,-0.1119,-0.049813,0,0,0,0.24268,0.00018513,5.8926E-06,-1.4569E-06,0.00018388,6.5708E-08,0.0003018,0,0,0,0,0,0,package://autochair/meshes/left_caster_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://autochair/meshes/left_caster_wheel.STL,,CCVINTAGE-PW-4S-STEM-3,left_caster_coord,left_caster_joint,left_caster_joint,fixed,-2.3764,3.3374,0.12015,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,0.00676832715317666,-0.00738785210738577,9.17768374701922E-05,0,0,0,1.33041048124832,0.000614736954229148,0.000158189979278381,8.00271259590291E-07,0.00109812375363565,3.0960362664797E-06,0.000960497023041248,0,0,0,0,0,0,package://autochair/meshes/lidar.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://autochair/meshes/lidar.STL,,lidar-1,lidar_coord,lidar_joint,lidar_joint,fixed,-2.6586,3.1054,0.1445,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
